Dataset ID,Collection,Dataset Name,Languages,Text Sources,Model Generated,Derived from Datasets,License Use (DataProvenance),License Use (GitHub),Licenses,GitHub License,Dataset URL,GitHub URL,ArXiv URL
tsy-vitaminc-tals__vitaminc,Tasksource Symbol-Tuning,tsy-vitaminc-tals__vitaminc,['English'],['wikipedia.org'],[],['FEVER'],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",MIT License,https://github.com/TalSchuster/VitaminC,https://github.com/TalSchuster/VitaminC,https://arxiv.org/abs/2103.08541
tsy-hyperpartisan_news,Tasksource Symbol-Tuning,tsy-hyperpartisan_news,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': None}]",,https://huggingface.co/datasets/hyperpartisan_news_detection,,
tsy-fever_evidence_related-mwong__fever_related,Tasksource Symbol-Tuning,tsy-fever_evidence_related-mwong__fever_related,['English'],['wikipedia.org'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://fever.ai/download/feverous/license.html'}]",,https://huggingface.co/datasets/mwong/fever-evidence-related,,https://arxiv.org/abs/1803.05355
tsy-dynasent-dynabench.dynasent.r1.all-r1,Tasksource Symbol-Tuning,tsy-dynasent-dynabench.dynasent.r1.all-r1,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://huggingface.co/datasets/dynabench/dynasent#license'}]",,https://dynabench.org/tasks/3,,https://arxiv.org/abs/2012.15349
tsy-dynasent-dynabench.dynasent.r2.all-r2,Tasksource Symbol-Tuning,tsy-dynasent-dynabench.dynasent.r2.all-r2,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://huggingface.co/datasets/dynabench/dynasent#license'}]",,https://dynabench.org/tasks/3,,https://arxiv.org/abs/2012.15349
tsy-condaqa,Tasksource Symbol-Tuning,tsy-condaqa,['English'],['wikipedia.org'],[],[],commercial,commercial,"[{'License': 'Apache License 2.0', 'License URL': 'https://github.com/AbhilashaRavichander/CondaQA/blob/main/LICENSE'}]",Apache License 2.0,https://github.com/AbhilashaRavichander/CondaQA,https://github.com/AbhilashaRavichander/CondaQA,https://arxiv.org/abs/2211.00295
tsy-defeasible_nli-snli,Tasksource Symbol-Tuning,tsy-defeasible_nli-snli,['English'],['crowdsourced'],[],"['SNLI', 'social chemestry', 'ATOMIC']",commercial,,"[{'License': 'MIT License', 'License URL': 'https://github.com/rudinger/defeasible-nli/blob/main/LICENSE'}]",,https://huggingface.co/datasets/metaeval/defeasible-nli,,https://aclanthology.org/2020.findings-emnlp.418/
tsy-defeasible_nli-atomic,Tasksource Symbol-Tuning,tsy-defeasible_nli-atomic,['English'],['crowdsourced'],[],"['SNLI', 'social chemestry', 'ATOMIC']",commercial,,"[{'License': 'MIT License', 'License URL': 'https://github.com/rudinger/defeasible-nli/blob/main/LICENSE'}]",,https://huggingface.co/datasets/metaeval/defeasible-nli,,https://aclanthology.org/2020.findings-emnlp.418/
tsy-lonli,Tasksource Symbol-Tuning,tsy-lonli,['English'],['grammar-based'],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",MIT License,https://github.com/microsoft/LoNLI,https://github.com/microsoft/LoNLI,https://arxiv.org/abs/2107.07229
tsy-tracie,Tasksource Symbol-Tuning,tsy-tracie,['English'],['crowdsourced'],[],['ROCStories dataset'],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",Apache License 2.0,https://github.com/allenai/aristo-leaderboard/tree/master/tracie/data,https://github.com/allenai/aristo-leaderboard/tree/master/tracie/data,https://arxiv.org/abs/2010.12753
tsy-winowhy,Tasksource Symbol-Tuning,tsy-winowhy,['English'],"['winograd schema challenge dataset', 'conceptnet', 'crowdsourced']",[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",MIT License,https://github.com/HKUST-KnowComp/WinoWhy,https://github.com/HKUST-KnowComp/WinoWhy,https://arxiv.org/abs/2005.05763
tsy-cladder,Tasksource Symbol-Tuning,tsy-cladder,['English'],[],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",MIT License,https://github.com/causalNLP/cladder,https://github.com/causalNLP/cladder,
fc-flan-drop,Flan Collection (Flan 2021),drop,['English'],"['wikipedia.org', 'crowdsourced']",[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://allenai.org/data/drop'}]",,https://allenai.org/data/drop,,https://arxiv.org/abs/1903.00161
fc-flan-e2e_nlg,Flan Collection (Flan 2021),e2e_nlg,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://gem-benchmark.com/data_cards/e2e_nlg'}]",,https://gem-benchmark.com/data_cards/e2e_nlg,,https://arxiv.org/abs/1706.09254
fc-flan-natural_questions,Flan Collection (Flan 2021),natural_questions,['English'],"['wikipedia.org', 'crowdsourced']",[],[],commercial,commercial,"[{'License': 'CC BY-SA 3.0', 'License URL': 'https://github.com/google-research-datasets/natural-questions/tree/master/nq_open'}]",Apache License 2.0,https://github.com/google-research-datasets/natural-questions/tree/master/nq_open,https://github.com/google-research-datasets/natural-questions/tree/master/nq_open,https://aclanthology.org/Q19-1026/?utm_campaign=NLP%20News&utm_medium=email&utm_source=Revue%20newsletter
fc-flan-quac,Flan Collection (Flan 2021),quac,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://quac.ai/'}]",,https://quac.ai/,,https://arxiv.org/abs/1808.07036
fc-flan-squad_v1,Flan Collection (Flan 2021),squad_v1,['English'],['crowdsourced (daemo)'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://creativecommons.org/licenses/by-sa/4.0/legalcode'}]",,https://rajpurkar.github.io/SQuAD-explorer/,https://rajpurkar.github.io/SQuAD-explorer/,https://arxiv.org/abs/1806.03822
fc-flan-squad_v2,Flan Collection (Flan 2021),squad_v2,['English'],['crowdsourced (daemo)'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://creativecommons.org/licenses/by-sa/4.0/legalcode'}]",,https://rajpurkar.github.io/SQuAD-explorer/,https://rajpurkar.github.io/SQuAD-explorer/,https://arxiv.org/abs/1806.03822
